timestamp;MAC;subcarrier;amplitude;phase;RSSI;frame_control
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;0;3252.5782081297;2.8730485766;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;1;348.9197615498;2.1500551150;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;2;554.4312401011;0.9882964191;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;3;677.1026510065;0.4557217512;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;4;721.7658900225;-0.3024716111;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;5;708.5266402896;-0.7893901582;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;6;677.8532289515;-1.6209757333;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;7;584.7272868611;-2.1934314941;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;8;601.0823570859;3.0114597621;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;9;585.2264518970;2.4190655160;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;10;684.0263152833;1.5795680316;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;11;705.7619995438;1.0551651366;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;12;719.2419620684;0.2861299039;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;13;769.7298227300;-0.1591683984;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;14;805.3974174282;-0.7827642801;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;15;819.1764156761;-1.3077562580;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;16;769.4394063213;-1.9348909504;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;17;732.2738558763;-2.3899980339;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;18;629.1526046994;-3.0588474090;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;19;520.2393679836;2.5103938845;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;20;355.6585441122;1.7919050360;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;21;220.8393080953;0.7405564483;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;22;243.1151990312;-0.5114932024;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;23;299.2924990707;-1.8206371882;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;24;387.7641035475;-2.7275578779;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;25;466.9411097772;2.8482897074;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;26;507.3509633380;2.1413048158;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;27;574.1123583411;1.3566616404;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;28;11265.0000000000;0.0000000000;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;29;37484.7732286058;-2.0848598927;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;30;0.0000000000;0.0000000000;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;31;3323.4808559701;-1.3601232941;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;32;3234.3778381630;-0.3221416377;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;33;5224.1418434036;-1.7678915638;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;34;5970.2095440612;2.1106987640;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;35;7798.9456338662;-1.9758059681;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;36;572.7660953653;1.7356579778;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;37;518.5846121898;1.1390619518;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;38;396.6824926815;0.4681571613;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;39;332.0737869811;0.0210812138;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;40;332.0737869811;0.0210812138;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;41;79.4040301244;-1.4698745421;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;42;89.0056178002;1.5820318091;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;43;85.9127464350;0.6947382762;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;44;257.2663988942;0.5524189243;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;45;298.2415128717;0.0402467118;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;46;362.8236486229;-0.4907679616;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;47;408.7957925419;-0.8061564269;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;48;496.6376949044;-1.4496880741;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;49;540.4479623424;-1.8328289917;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;50;566.2578917772;-2.4011641520;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;51;633.8343632212;-2.8388019029;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;52;554.9099025968;2.9254647499;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;53;617.4544517614;2.4848108226;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;54;510.0666623099;1.9272723705;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;55;502.0597573995;1.3702757771;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;56;403.0682324371;0.8697048959;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;57;340.4144532772;0.0911918020;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;58;233.4309319692;-0.9435748422;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;59;246.1300469264;-1.9980963148;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;60;295.0254226334;-2.9229237077;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;61;398.2762860126;2.5563755582;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;62;351.1182137116;1.9809236673;-72.0000000000;148
2024-06-29 07:50:07:321154;f0:c8:14:e5:cc:a7;63;252.8003164555;1.0398745057;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;0;3252.5782081297;2.8730485766;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;1;386.8397601075;-1.4124473746;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;2;611.8300417600;-2.0461393090;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;3;702.0541289673;-2.8288508645;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;4;654.7190237041;2.7148387542;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;5;679.4328517227;2.0528750282;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;6;662.8499075960;1.1726397794;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;7;639.1377003432;0.3331305678;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;8;629.1239941379;-0.3001350175;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;9;689.6209103558;-1.1142821895;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;10;677.1595085355;-1.8154168237;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;11;799.0675816225;-2.4297086218;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;12;820.2438661764;3.1172072444;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;13;775.2270635111;2.5628921073;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;14;852.1150157109;1.8710208822;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;15;700.9600559233;1.2106898751;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;16;680.2977289393;0.7052780704;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;17;618.3049409474;-0.1640851309;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;18;424.9447022849;-0.7287920345;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;19;408.1666326392;-1.4677147183;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;20;314.0143308832;-2.8208491482;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;21;208.5401639973;2.0709084521;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;22;260.1557225971;1.5361947579;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;23;375.9960106171;0.2636861579;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;24;319.9156138734;-0.6166157810;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;25;366.3495598469;-1.2196932379;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;26;381.7564668738;-2.1130127703;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;27;280.1785145224;-2.8220994317;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;28;11265.0000000000;0.0000000000;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;29;37484.7732286058;-2.0848598927;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;30;0.0000000000;0.0000000000;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;31;3323.4808559701;-1.3601232941;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;32;3234.3778381630;-0.3221416377;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;33;5224.1418434036;-1.7678915638;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;34;5970.2095440612;2.1106987640;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;35;7798.9456338662;-1.9758059681;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;36;317.6680657542;-0.7520030110;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;37;336.9421315300;-1.3827136525;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;38;323.2785176902;-2.1064413275;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;39;254.2833065697;-2.6322023274;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;40;198.2523644247;3.0911304796;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;41;81.0061726043;2.0730987049;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;42;37.1214223865;-0.4756952189;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;43;103.8315944210;-1.0683750568;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;44;231.5102589520;-1.7181911879;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;45;259.5168587973;-2.3480202853;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;46;339.4539733160;-2.8487250248;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;47;433.0357952872;2.7027333546;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;48;433.0357952872;2.7027333546;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;49;610.2196325914;1.6561150185;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;50;720.1180458786;1.0680139542;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;51;722.7150199076;0.5634394066;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;52;794.6426869984;0.0957868789;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;53;720.0555534124;-0.5756765714;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;54;600.3540622000;-1.0609474653;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;55;609.9778684510;-1.7221992393;-72.0000000000;148
2024-06-29 07:50:07:329353;f0:c8:14:e5:cc:a7;56;464.1551464758;-2.4722352394;-72.0000000000;148
