timestamp;MAC;subcarrier;amplitude;phase;RSSI;frame_control
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;46;814.0073709740;0.2330602764;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;47;743.1722545951;-0.6219701162;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;48;653.2258414974;-1.5095234292;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;49;558.3878580342;-2.4385995775;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;50;512.3055728762;2.9131844434;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;51;505.2771516702;1.8330560347;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;52;485.8240422210;0.7722984761;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;53;519.7355096585;-0.1350944384;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;54;595.7986236976;-0.9958283667;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;55;695.2445612876;-1.8356607144;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;56;749.7126116053;-2.6558722577;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;57;805.7207953131;2.9782803340;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;58;842.4262579004;2.1189518291;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;59;799.8306070663;1.3476522277;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;60;745.2274820483;0.6349130215;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;61;655.2320199746;-0.0993649319;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;62;514.7912198163;-0.7771565918;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;63;380.0552591400;-1.8125841903;-75.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;0;3252.5782081297;2.8730485766;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;1;319.7577207825;0.4636476090;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;2;195.2741662381;-0.5737990133;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;3;239.1338537305;-1.6042566372;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;4;264.3217736018;-2.6661012668;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;5;282.4057364856;2.5044653962;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;6;268.8958906343;1.1370898507;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;7;221.9481921530;-0.4979083911;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;8;326.5715848019;-1.6689415192;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;9;372.3237838226;-2.8835854117;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;10;470.8386135397;2.0933670852;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;11;617.4139616173;1.1361261116;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;12;604.7445741799;0.0496280902;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;13;742.5900618780;-1.0830569944;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;14;767.5519526390;-2.0530897933;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;15;728.0988943818;-3.1251106298;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;16;774.3035580443;2.0558156092;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;17;693.5416353760;1.0749018354;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;18;612.0400313705;0.0114374097;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;19;623.1957958780;-1.1876081921;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;20;543.6469442570;-2.1465546443;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;21;491.7977226462;2.8359178846;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;22;537.0456218982;1.5838309703;-74.0000000000;148
2024-06-29 07:42:08:738936;f0:c8:14:e5:cc:a7;23;425.7511009968;0.4678492649;-74.0000000000;148
