timestamp;MAC;subcarrier;amplitude;phase;RSSI;frame_control
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;47;591.2596722253;0.3849033337;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;48;603.1260233152;0.3380050220;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;49;622.9068951296;0.5153627791;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;50;660.6012412946;0.4494305575;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;51;740.8981036553;0.5089338458;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;52;722.5794074010;0.4054369434;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;53;757.9610807950;0.3613957414;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;54;644.2212352911;0.3075148936;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;55;643.6528567481;0.3704086245;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;56;533.5934782210;0.4477227190;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;57;497.5339184417;0.4942136259;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;58;614.7332754943;0.6851572322;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;59;645.4339625399;0.4816636776;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;60;613.1402775874;0.5300702194;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;61;520.1932333278;0.2724903766;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;62;386.2084929154;0.2996411355;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;63;283.2137002336;-0.4336408206;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;0;3252.5782081297;2.8730485766;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;1;350.2413453606;-2.6575136607;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;2;453.0838774443;1.7348564705;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;3;582.2233248505;0.1205203308;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;4;609.0533638360;-1.3134726118;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;5;614.0830562717;-2.9895623668;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;6;597.0770469546;1.9662316103;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;7;533.5410012361;0.2172458934;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;8;442.1459035205;-0.7550075230;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;9;402.9503691523;-2.2560020033;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;10;469.5125131453;2.9508803693;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;11;481.1195277683;1.4247840691;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;12;621.1022460111;0.0999890626;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;13;584.1104347638;-1.5091250604;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;14;656.0487786743;-2.8699930618;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;15;574.4919494649;1.7528294900;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;16;607.9317395892;0.4401052338;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;17;550.9863882166;-1.2283828124;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;18;622.2105752878;-2.5344216446;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;19;556.1411691288;2.1448347508;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;20;692.2665671546;0.6573690437;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;21;713.4269408986;-0.9186046602;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;22;738.8775270639;-2.5468333961;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;23;697.6718426309;1.9978983157;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;24;756.7013942104;0.4571465186;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;25;717.2419396550;-1.2058246916;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;26;748.0106951107;-2.7521490765;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;27;694.9244563260;1.9635949763;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;28;11265.0000000000;0.0000000000;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;29;38397.6532616252;-2.1255087359;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;30;128.0000000000;0.0000000000;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;31;3323.4808559701;-1.3601232941;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;32;3234.3778381630;-0.3221416377;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;33;5224.1418434036;-1.7678915638;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;34;5970.2095440612;2.1106987640;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;35;7798.9456338662;-1.9758059681;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;36;627.7141068990;2.1738221040;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;37;589.4064811317;0.6699715030;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;38;642.5029182813;-0.8228256112;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;39;524.9038007102;-2.3858354022;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;40;622.2603956544;2.3516490670;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;41;485.5182797795;0.6979028226;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;42;622.6652391133;-0.7490505424;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;43;547.8914125992;-2.2566542569;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;44;663.3196816016;2.4790950365;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;45;582.6044970647;1.0733674110;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;46;715.0111887236;-0.5852873271;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;47;746.2117661897;-2.0080711549;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;48;814.9846624324;2.6087487660;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;49;888.4824140072;1.1338291928;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;50;765.6794368402;-0.5133143320;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;51;922.8309704382;-2.0567378664;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;52;728.2705541212;2.6355611000;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;53;828.2928226177;1.1184873247;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;54;747.8001069805;-0.2832592069;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;55;732.8635616539;-1.8714019968;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;56;766.1879664939;3.0369889762;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;57;736.5826498092;1.3281225657;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;58;885.1446209519;-0.0508610753;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;59;755.2304284124;-1.4939228818;-79.0000000000;148
2024-06-29 07:53:47:825598;e4:be:ed:7b:2f:79;60;808.3272852007;3.1131349916;-79.0000000000;148
